Country Name,Country Code,Series,Series Code,2012 [YR2012],2015 [YR2015],2018 [YR2018]
France,FRA,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,500.157115505064,494.034208242238,493.459970210797
France,FRA,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,497.716341579696,495.935280145541,492.507021484993
France,FRA,PISA: Mean performance on the science scale,LO.PISA.SCI,498.970894151481,494.9776,492.977076058355
France,FRA,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,482.971515216203,484.629285665973,480.324763963823
France,FRA,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,526.765410016808,513.764019445618,505.223674818828
France,FRA,PISA: Mean performance on the reading scale,LO.PISA.REA,505.481483378022,499.3061,492.606481334553
France,FRA,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,499.354754058026,495.931687909498,498.544845511855
France,FRA,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,490.852617985955,489.954043002625,492.184622751844
France,FRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,494.98467432064,492.9204,495.407581444032
Kazakhstan,KAZ,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,428.971365390986,457.860189557038,400.901187476459
Kazakhstan,KAZ,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,420.411443365237,455.195445745748,393.516162989227
Kazakhstan,KAZ,PISA: Mean performance on the science scale,LO.PISA.SCI,424.707522973964,456.4836,397.104835281035
Kazakhstan,KAZ,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,374.249647995821,419.428220893186,373.845938281003
Kazakhstan,KAZ,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,411.084097859834,435.383616649192,400.728598911844
Kazakhstan,KAZ,PISA: Mean performance on the reading scale,LO.PISA.REA,392.736233327227,427.141,386.909274699556
Kazakhstan,KAZ,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,432.041202642522,459.103758556527,423.773931872769
Kazakhstan,KAZ,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,431.557436261498,460.577154184526,422.482002862951
Kazakhstan,KAZ,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,431.798408505079,459.816,423.146133028156
Korea, Rep.,KOR,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,535.929533799303,520.832926963475,516.888381655968
Korea, Rep.,KOR,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,539.407711568145,511.215065838711,520.930287343848
Korea, Rep.,KOR,PISA: Mean performance on the science scale,LO.PISA.SCI,537.787621535186,515.8099,519.007254581204
Korea, Rep.,KOR,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,524.964649363514,498.068987929607,502.840138194686
Korea, Rep.,KOR,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,548.20669067247,538.609217621669,526.406274343338
Korea, Rep.,KOR,PISA: Mean performance on the reading scale,LO.PISA.REA,535.79049035633,517.4367,514.052287958269
Korea, Rep.,KOR,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,562.11394394887,520.766937362829,527.856147498456
